CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
101	10180	Abilene, TX Metro Area	1	7105668291	36756436	2743.514	14.192	32.452022	-99.718743                                                                                                             
220	10300	Adrian, MI Micro Area	2	1941553343	30470381	749.638	11.765	41.896022	-84.074356                                                                                                               
364	10380	Aguadilla, PR Metro Area	1	769374622	354393992	297.057	136.832	18.391555	-67.097202                                                                                                           
184	10420	Akron, OH Metro Area	1	2331510427	62132699	900.201	23.99	41.146639	-81.35011                                                                                                                  
440	10540	Albany, OR Metro Area	1	5929797336	50130716	2289.508	19.356	44.488898	-122.537208                                                                                                             
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282538755	172029594	2811.804	66.421	42.78792	-73.942348                                                                                             
172	10620	Albemarle, NC Micro Area	2	1023253144	25183933	395.08	9.724	35.310449	-80.254374                                                                                                              
290	10700	Albertville, AL Micro Area	2	1465531837	148497637	565.845	57.335	34.309564	-86.321668                                                                                                         
105	10740	Albuquerque, NM Metro Area	1	24043885640	31811333	9283.397	12.282	35.123496	-106.458392                                                                                                       
194	10760	Alexander City, AL Micro Area	2	1855797991	128790986	716.528	49.726	32.863308	-85.799618                                                                                                      
204	10860	Alice, TX Micro Area	2	4684072388	9464999	1808.531	3.654	27.359741	-98.157214                                                                                                                 
106	10900	Allentown-Bethlehem-Easton, PA-NJ Metro Area	1	3763313649	58258898	1453.024	22.494	40.789339	-75.398158                                                                                       
394	10940	Alma, MI Micro Area	2	1472098902	8369164	568.381	3.231	43.292326	-84.60469                                                                                                                    
107	11020	Altoona, PA Metro Area	1	1359916303	3294803	525.067	1.272	40.498683	-78.309597                                                                                                                
108	11100	Amarillo, TX Metro Area	1	13340979939	84943239	5150.981	32.797	35.247999	-101.90867                                                                                                           
218	11180	Ames, IA Metro Area	1	2960369528	11071777	1143.005	4.275	42.036128	-93.698008                                                                                                                 
521	11200	Amherst Town-Northampton, MA Metro Area	1	1365533874	46625894	527.236	18.002	42.339459	-72.663694                                                                                             
